BuscoID	Status	Contig	Start	End	Strand	Score	Length	OrthoDBURL	Description	MeanX	MedX	ModeX	DensX	CN	CIsyst	CIrand	DensK	SelfK	HomPC
3662at3193	Complete	NC_057916.1	13618060	13640598	-	1467.2	1025	https://www.orthodb.org/v10?query=3662at3193	Elongator complex protein 1	58.5	59	61	58.81	1.12	0.29	0.3	NA	NA	NA
3704at3193	Complete	NC_057917.1	55661196	55723531	+	1847.8	1178	https://www.orthodb.org/v10?query=3704at3193	Four-carbon acid sugar kinase, N-terminal domain	47.88	48	49	47.94	0.91	0.26	0.25	NA	NA	NA
3755at3193	Complete	NC_057925.1	14510334	14602088	+	1452	924	https://www.orthodb.org/v10?query=3755at3193	DNA-directed RNA polymerase I subunit 2	54.75	54	54	54.34	1.03	0.28	0.28	NA	NA	NA
3941at3193	Complete	NC_057920.1	40692569	40785078	+	1492.9	1022	https://www.orthodb.org/v10?query=3941at3193	trafficking protein particle complex subunit 8	43.02	40	38	40.31	0.77	0.24	0.21	NA	NA	NA
3942at3193	Complete	NC_057925.1	62020594	62099689	-	1779.9	1141	https://www.orthodb.org/v10?query=3942at3193	splicing factor 3B subunit 3	53.3	53	52	53.15	1.01	0.28	0.28	NA	NA	NA
3971at3193	Complete	NC_057921.1	36554586	36647846	+	1500.5	995	https://www.orthodb.org/v10?query=3971at3193	transcription initiation factor TFIID subunit 2	55.08	55	60	55.33	1.05	0.28	0.29	NA	NA	NA
4051at3193	Complete	NC_057925.1	16823429	16921880	+	1563.9	873	https://www.orthodb.org/v10?query=4051at3193	beta-galactosidase	58.09	58	53	58.05	1.1	0.29	0.3	NA	NA	NA
4115at3193	Complete	NC_057921.1	63891303	63925963	-	1683.5	945	https://www.orthodb.org/v10?query=4115at3193	Quinoprotein amine dehydrogenase, beta chain-like RIC1-like guanyl-nucleotide exchange factor	54.25	55	60	55.13	1.05	0.28	0.29	NA	NA	NA
4251at3193	Complete	NC_057923.1	21073542	21077774	-	1726.3	1090	https://www.orthodb.org/v10?query=4251at3193	ARF guanine-nucleotide exchange factor GNL2	58.5	58	56	58.17	1.11	0.29	0.3	NA	NA	NA
4343at3193	Complete	NC_057926.1	34007201	34116028	+	1558.8	1026	https://www.orthodb.org/v10?query=4343at3193	tubulin-folding cofactor D	53.58	55	57	54.61	1.04	0.28	0.28	NA	NA	NA
4482at3193	Complete	NC_057917.1	72230875	72255748	-	1789.9	1231	https://www.orthodb.org/v10?query=4482at3193	WD40-repeat-containing domain	52.21	53	53	52.24	0.99	0.27	0.27	NA	NA	NA
4547at3193	Complete	NC_057917.1	3710834	3745317	-	1836.2	1638	https://www.orthodb.org/v10?query=4547at3193	Tetratricopeptide-like helical domain containing protein	60.33	60	60	60.57	1.15	0.29	0.31	NA	NA	NA
4582at3193	Complete	NC_057921.1	21342628	21434838	+	1543.6	987	https://www.orthodb.org/v10?query=4582at3193	SH3 domain	53.4	55	59	55.25	1.05	0.28	0.29	NA	NA	NA
4678at3193	Complete	NC_057921.1	39762218	39911629	+	1645.5	993	https://www.orthodb.org/v10?query=4678at3193	WD40-repeat-containing domain	53.25	54	55	53.48	1.02	0.28	0.28	NA	NA	NA
4892at3193	Complete	NW_025317684.1	2346	37809	-	1341	876	https://www.orthodb.org/v10?query=4892at3193	E3 ubiquitin-protein ligase UPL7	54.15	54	53	54.16	1.03	0.28	0.28	NA	NA	NA
5261at3193	Complete	NC_057916.1	70575649	70628048	-	1154	773	https://www.orthodb.org/v10?query=5261at3193	Nucleotidyltransferase family protein	46.68	46	40	45.61	0.87	0.26	0.24	NA	NA	NA
5306at3193	Complete	NC_057919.1	6677444	6692932	-	1282	930	https://www.orthodb.org/v10?query=5306at3193	Tetratricopeptide repeat	47.66	47	46	47.42	0.9	0.26	0.25	NA	NA	NA
5602at3193	Complete	NC_057919.1	54445362	54451302	+	1261.1	975	https://www.orthodb.org/v10?query=5602at3193	protein PRD1	42.24	42	42	42.12	0.8	0.25	0.22	NA	NA	NA
5603at3193	Complete	NC_057925.1	51538207	51543744	+	1508.2	936	https://www.orthodb.org/v10?query=5603at3193	protein CHROMATIN REMODELING 8	42.55	43	41	42.51	0.81	0.25	0.22	NA	NA	NA
5727at3193	Complete	NC_057918.1	16512478	16531961	+	1518.1	850	https://www.orthodb.org/v10?query=5727at3193	PPM-type phosphatase domain	54.8	55	54	54.73	1.04	0.28	0.28	NA	NA	NA
5761at3193	Complete	NC_057919.1	13780553	13803586	+	1217.1	834	https://www.orthodb.org/v10?query=5761at3193	Nrap protein	54.73	54	51	54.01	1.03	0.28	0.28	NA	NA	NA
5793at3193	Complete	NC_057921.1	55267359	55484186	+	1795.8	1414	https://www.orthodb.org/v10?query=5793at3193	tRNA/rRNA methyltransferase	48.36	51	55	50.8	0.97	0.27	0.26	NA	NA	NA
5796at3193	Complete	NC_057917.1	5089624	5139214	-	1737	926	https://www.orthodb.org/v10?query=5796at3193	MIF4G-like domain superfamily	57.29	58	60	57.55	1.09	0.29	0.3	NA	NA	NA
5849at3193	Complete	NC_057920.1	38445085	38568386	-	1442.8	987	https://www.orthodb.org/v10?query=5849at3193	Armadillo-type fold	45.86	43	42	42.55	0.81	0.25	0.22	NA	NA	NA
5868at3193	Complete	NC_057917.1	49127554	49182693	-	1076.4	916	https://www.orthodb.org/v10?query=5868at3193	transcriptional elongation regulator MINIYO	60.64	64	70	62.6	1.19	0.3	0.32	NA	NA	NA
5921at3193	Complete	NC_057918.1	66813675	66888239	+	1747	984	https://www.orthodb.org/v10?query=5921at3193	DNA mismatch repair protein	54.69	56	58	55.31	1.05	0.28	0.29	NA	NA	NA
6095at3193	Complete	NC_057916.1	18817693	18853359	+	873.1	691	https://www.orthodb.org/v10?query=6095at3193	Gamma-tubulin complex component	53	54	60	53.64	1.02	0.28	0.28	NA	NA	NA
6114at3193	Complete	NC_057918.1	9459688	9494964	+	1402.8	830	https://www.orthodb.org/v10?query=6114at3193	DExH-box ATP-dependent RNA helicase DExH15 chloroplastic	49.8	48	50	47.93	0.91	0.26	0.25	NA	NA	NA
6319at3193	Complete	NC_057920.1	50955956	51145652	+	1447.6	848	https://www.orthodb.org/v10?query=6319at3193	glycine--tRNA ligase, chloroplastic/mitochondrial 2 isoform X1	49.6	50	51	50.2	0.95	0.27	0.26	NA	NA	NA
6412at3193	Complete	NC_057922.1	53642138	53676093	-	1731.2	1062	https://www.orthodb.org/v10?query=6412at3193	DNA mismatch repair protein MSH6	52.57	53	53	52.62	1	0.27	0.27	NA	NA	NA
6430at3193	Complete	NC_057921.1	64970912	64985302	+	1052.2	743	https://www.orthodb.org/v10?query=6430at3193	protein timeless homolog isoform X1	61.94	62	63	61.99	1.18	0.3	0.32	NA	NA	NA
6485at3193	Complete	NC_057919.1	66375883	66434025	-	1507.5	981	https://www.orthodb.org/v10?query=6485at3193	nodal modulator 1	49.21	50	48	49.97	0.95	0.27	0.26	NA	NA	NA
6707at3193	Complete	NC_057916.1	18879340	18890784	+	1193.4	774	https://www.orthodb.org/v10?query=6707at3193	Ankyrin repeat-containing domain	56.12	56	58	56.15	1.07	0.28	0.29	NA	NA	NA
6756at3193	Complete	NC_057923.1	62425702	62489166	-	1356.2	808	https://www.orthodb.org/v10?query=6756at3193	Thioredoxin-like fold	47.15	47	48	46.21	0.88	0.26	0.24	NA	NA	NA
7170at3193	Complete	NC_057922.1	64390523	64429253	+	1508.7	926	https://www.orthodb.org/v10?query=7170at3193	protein CTR9 homolog	58.72	57	55	57.39	1.09	0.29	0.3	NA	NA	NA
7277at3193	Complete	NC_057919.1	65534525	65550316	-	1505.4	842	https://www.orthodb.org/v10?query=7277at3193	Zinc finger, CCHC-type	58.87	60	48	59.47	1.13	0.29	0.31	NA	NA	NA
7476at3193	Complete	NC_057916.1	29274558	29467627	+	1251.9	935	https://www.orthodb.org/v10?query=7476at3193	exportin-4 isoform X1	53.56	53	50	52.2	0.99	0.27	0.27	NA	NA	NA
7510at3193	Complete	NC_057918.1	31714255	31829034	-	1288.1	789	https://www.orthodb.org/v10?query=7510at3193	nuclear pore complex protein NUP107	53.32	52	52	51.7	0.98	0.27	0.27	NA	NA	NA
7542at3193	Complete	NC_057919.1	64166555	64180262	-	1825	1109	https://www.orthodb.org/v10?query=7542at3193	serine/threonine-protein kinase RUNKEL	59	60	61	59.48	1.13	0.29	0.31	NA	NA	NA
7552at3193	Complete	NC_057922.1	11218837	11223356	-	1738.3	850	https://www.orthodb.org/v10?query=7552at3193	116kDa U5 small nuclear ribonucleoprotein component, C-terminal	50.1	51	51	50.97	0.97	0.27	0.26	NA	NA	NA
7852at3193	Complete	NC_057922.1	10701101	10716083	+	1446.2	787	https://www.orthodb.org/v10?query=7852at3193	vacuolar protein-sorting-associated protein 11 homolog	68.2	69	77	69.49	1.32	0.32	0.36	NA	NA	NA
7942at3193	Complete	NC_057921.1	56518361	56599815	+	1630.1	885	https://www.orthodb.org/v10?query=7942at3193	isoleucine--tRNA ligase, chloroplastic/mitochondrial	51.15	51	51	51.42	0.98	0.27	0.27	NA	NA	NA
7975at3193	Complete	NC_057918.1	9663942	9730879	-	1342.2	859	https://www.orthodb.org/v10?query=7975at3193	transportin MOS14	57.77	57	57	57.58	1.09	0.29	0.3	NA	NA	NA
8030at3193	Complete	NC_057923.1	46559942	46623026	-	1214.9	724	https://www.orthodb.org/v10?query=8030at3193	4-alpha-glucanotransferase DPE2	49.32	50	52	50.02	0.95	0.27	0.26	NA	NA	NA
8229at3193	Complete	NC_057917.1	80502140	80525145	-	1205.6	833	https://www.orthodb.org/v10?query=8229at3193	Peroxisome biogenesis protein 1	61.82	63	63	62.1	1.18	0.3	0.32	NA	NA	NA
8339at3193	Complete	NC_057917.1	44707816	44887899	+	1414.1	798	https://www.orthodb.org/v10?query=8339at3193	Aminoacyl-tRNA synthetase, class Ia	54.96	55	63	55.4	1.05	0.28	0.29	NA	NA	NA
8566at3193	Complete	NC_057918.1	31441062	31461791	-	1476.9	1091	https://www.orthodb.org/v10?query=8566at3193	Alpha/beta fold hydrolase	63.07	64	65	63.23	1.2	0.3	0.33	NA	NA	NA
8731at3193	Complete	NC_057921.1	67332948	67344856	-	1009.9	872	https://www.orthodb.org/v10?query=8731at3193	Zinc finger, RING-type	57.27	60	62	59.42	1.13	0.29	0.31	NA	NA	NA
8828at3193	Complete	NC_057919.1	1174942	1375141	+	1468.2	815	https://www.orthodb.org/v10?query=8828at3193	Calcium-transporting ATPase	44.35	45	48	45.02	0.86	0.25	0.23	NA	NA	NA
8939at3193	Complete	NC_057916.1	86324497	86339177	+	1474.9	869	https://www.orthodb.org/v10?query=8939at3193	GHMP kinase, C-terminal domain	59.75	60	62	59.91	1.14	0.29	0.31	NA	NA	NA
8953at3193	Complete	NC_057923.1	10494700	10510002	-	1132.6	796	https://www.orthodb.org/v10?query=8953at3193	DNA repair protein UVH3 isoform X1	59	59	58	58.8	1.12	0.29	0.3	NA	NA	NA
9385at3193	Complete	NC_057922.1	27958649	28024429	-	1737.1	1139	https://www.orthodb.org/v10?query=9385at3193	DNA repair protein RAD50	58.51	59	50	58.86	1.12	0.29	0.31	NA	NA	NA
9443at3193	Complete	NC_057922.1	8874536	8914123	+	1965.2	1054	https://www.orthodb.org/v10?query=9443at3193	Cullin-associated NEDD8-dissociated protein 1	60.22	60	60	60.42	1.15	0.29	0.31	NA	NA	NA
9466at3193	Complete	NC_057917.1	69544912	69600214	-	1322	867	https://www.orthodb.org/v10?query=9466at3193	importin-9	52.85	60	62	58.68	1.12	0.29	0.3	NA	NA	NA
9508at3193	Complete	NC_057922.1	39142613	39164504	+	1303.3	873	https://www.orthodb.org/v10?query=9508at3193	condensin-2 complex subunit D3	38.7	39	40	39.52	0.75	0.24	0.2	NA	NA	NA
9727at3193	Complete	NC_057925.1	7130691	7233154	+	1127.7	778	https://www.orthodb.org/v10?query=9727at3193	structural maintenance of chromosomes protein 5	47.39	46	45	45.61	0.87	0.26	0.24	NA	NA	NA
9734at3193	Complete	NC_057926.1	15149651	15251185	-	874.4	821	https://www.orthodb.org/v10?query=9734at3193	MMS19 nucleotide excision repair protein homolog isoform X1	52.12	53	53	52.97	1.01	0.28	0.27	NA	NA	NA
9962at3193	Complete	NC_057916.1	17693799	17736288	-	1466.5	798	https://www.orthodb.org/v10?query=9962at3193	Dexh-box atp-dependent rna helicase dexh1	55.31	57	57	56.13	1.07	0.28	0.29	NA	NA	NA
10289at3193	Complete	NC_057921.1	59341681	59373429	+	1122.6	776	https://www.orthodb.org/v10?query=10289at3193	DNA mismatch repair protein MSH3	55.59	56	58	55.85	1.06	0.28	0.29	NA	NA	NA
10307at3193	Complete	NC_057925.1	41426043	41454841	+	1111.5	754	https://www.orthodb.org/v10?query=10307at3193	tRNA wybutosine-synthesizing protein	46.23	46	44	46.09	0.88	0.26	0.24	NA	NA	NA
10362at3193	Complete	NC_057921.1	52704064	52706625	+	1157.9	989	https://www.orthodb.org/v10?query=10362at3193	pentatricopeptide repeat-containing protein At3g02330	53.86	54	55	53.8	1.02	0.28	0.28	NA	NA	NA
10429at3193	Complete	NC_057921.1	36900918	36954311	+	1421.2	802	https://www.orthodb.org/v10?query=10429at3193	DNA mismatch repair protein MSH2	49.81	52	56	50.76	0.96	0.27	0.26	NA	NA	NA
10454at3193	Complete	NC_057919.1	3960964	3964056	-	1469.3	825	https://www.orthodb.org/v10?query=10454at3193	elongation factor-like GTPase 1	69.56	69	74	69.67	1.32	0.32	0.36	NA	NA	NA
10535at3193	Complete	NC_057920.1	51424178	51427501	+	1185.2	871	https://www.orthodb.org/v10?query=10535at3193	pentatricopeptide repeat-containing protein At5g57250, mitochondrial	50.79	51	51	50.75	0.96	0.27	0.26	NA	NA	NA
10651at3193	Complete	NC_057924.1	9977365	10039626	-	1442.8	820	https://www.orthodb.org/v10?query=10651at3193	vacuolar protein sorting-associated protein 18 homolog	45.11	44	42	43.86	0.83	0.25	0.23	NA	NA	NA
10797at3193	Complete	NC_057918.1	34307929	34432449	+	1289.3	753	https://www.orthodb.org/v10?query=10797at3193	Alpha-1,6-glucosidases, pullulanase-type	53.57	53	49	52.9	1.01	0.28	0.27	NA	NA	NA
10850at3193	Complete	NC_057920.1	11948745	11956930	+	903.1	935	https://www.orthodb.org/v10?query=10850at3193	CST complex subunit CTC1 isoform X1	57.35	58	58	57.42	1.09	0.29	0.3	NA	NA	NA
10856at3193	Complete	NC_057925.1	43605732	43633655	+	1112.8	649	https://www.orthodb.org/v10?query=10856at3193	1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic	43.94	44	44	43.34	0.82	0.25	0.22	NA	NA	NA
11121at3193	Complete	NC_057922.1	66285102	66296807	+	1378.3	769	https://www.orthodb.org/v10?query=11121at3193	WD40-repeat-containing domain	57.38	58	58	57.28	1.09	0.29	0.3	NA	NA	NA
11361at3193	Complete	NC_057917.1	18399508	18503993	-	1020.9	776	https://www.orthodb.org/v10?query=11361at3193	N-alpha-acetyltransferase 25, NatB auxiliary subunit	55.28	55	54	55.94	1.06	0.28	0.29	NA	NA	NA
11471at3193	Complete	NC_057926.1	53823291	53936940	-	1130.1	682	https://www.orthodb.org/v10?query=11471at3193	ATP-dependent DNA helicase homolog RECG, chloroplastic isoform X1	51.44	50	50	49.81	0.95	0.27	0.26	NA	NA	NA
11532at3193	Complete	NC_057916.1	20147862	20218504	-	1312.5	745	https://www.orthodb.org/v10?query=11532at3193	DNA topoisomerase, type IIA, subunit A/C-terminal	58.08	58	53	58.51	1.11	0.29	0.3	NA	NA	NA
11585at3193	Complete	NC_057916.1	19709266	19712250	-	1368.9	749	https://www.orthodb.org/v10?query=11585at3193	protein QUIRKY	55.4	54	53	55.22	1.05	0.28	0.29	NA	NA	NA
11903at3193	Complete	NW_025317399.1	20248	118846	-	1097.9	789	https://www.orthodb.org/v10?query=11903at3193	putative acyl-activating enzyme 19 isoform X1	54.09	53	52	52.27	0.99	0.27	0.27	NA	NA	NA
12298at3193	Complete	NC_057916.1	71321095	71366426	-	1292	749	https://www.orthodb.org/v10?query=12298at3193	WD40-repeat-containing domain	51.32	52	62	51.46	0.98	0.27	0.27	NA	NA	NA
12299at3193	Complete	NC_057919.1	56952009	56955023	-	1387.1	794	https://www.orthodb.org/v10?query=12299at3193	pentatricopeptide repeat-containing protein At1g06710, mitochondrial	57.29	57	58	57.29	1.09	0.29	0.3	NA	NA	NA
12744at3193	Complete	NC_057917.1	79490177	79507098	+	878.2	791	https://www.orthodb.org/v10?query=12744at3193	BTB/POZ domain	52.23	52	55	52.11	0.99	0.27	0.27	NA	NA	NA
12893at3193	Complete	NC_057924.1	4410445	4429929	+	1346.2	742	https://www.orthodb.org/v10?query=12893at3193	Aminoacyl-tRNA synthetase, class Ia	54.97	55	54	54.59	1.04	0.28	0.28	NA	NA	NA
12990at3193	Complete	NC_057926.1	33190053	33195872	+	1331.8	875	https://www.orthodb.org/v10?query=12990at3193	Pentatricopeptide repeat	50.61	51	54	50.75	0.96	0.27	0.26	NA	NA	NA
13044at3193	Complete	NC_057920.1	45595335	45706944	+	1148.5	695	https://www.orthodb.org/v10?query=13044at3193	aminodeoxychorismate synthase, chloroplastic	53.86	54	54	53.93	1.02	0.28	0.28	NA	NA	NA
13163at3193	Complete	NC_057926.1	55573589	55584167	+	1033.8	654	https://www.orthodb.org/v10?query=13163at3193	WD40-repeat-containing domain	56.33	57	57	56.4	1.07	0.28	0.29	NA	NA	NA
13313at3193	Complete	NC_057923.1	26070068	26072680	+	1101.9	660	https://www.orthodb.org/v10?query=13313at3193	pentatricopeptide repeat-containing protein At1g15510, chloroplastic	46.61	47	47	46.58	0.89	0.26	0.24	NA	NA	NA
13359at3193	Complete	NC_057916.1	14884054	14924751	+	885.4	656	https://www.orthodb.org/v10?query=13359at3193	Zinc finger, NF-X1-type	59.88	61	66	61.44	1.17	0.3	0.32	NA	NA	NA
13414at3193	Complete	NC_057916.1	65089157	65145487	+	1203.1	751	https://www.orthodb.org/v10?query=13414at3193	DNA helicase	52.21	53	57	52.64	1	0.27	0.27	NA	NA	NA
13495at3193	Complete	NC_057916.1	70938674	70953858	-	1349.6	743	https://www.orthodb.org/v10?query=13495at3193	conserved oligomeric Golgi complex subunit 7	45.87	47	47	47.52	0.9	0.26	0.25	NA	NA	NA
13740at3193	Complete	NC_057920.1	53835307	53855360	+	1278.3	792	https://www.orthodb.org/v10?query=13740at3193	DIS3-like exonuclease 2	54.73	54	53	54.81	1.04	0.28	0.28	NA	NA	NA
